,train_score,test_score,model,arg_list
103,0.6808638421148183,0.6908717557834225,ridge,"(-1, 0.5, 1000, 0.0001, 'auto')"
104,0.6808638421148183,0.6908717557834225,ridge,"(-1, 0.5, 1000, 0.001, 'auto')"
105,0.6808638421148183,0.6908717557834225,ridge,"(-1, 0.5, 1000, 0.01, 'auto')"
106,0.6808638421148183,0.6908717557834225,ridge,"(-1, 0.5, 10000, 0.0001, 'auto')"
107,0.6808638421148183,0.6908717557834225,ridge,"(-1, 0.5, 10000, 0.001, 'auto')"
108,0.6808638421148183,0.6908717557834225,ridge,"(-1, 0.5, 10000, 0.01, 'auto')"
109,0.680863832241516,0.6908716544206579,ridge,"(-1, 1.0, 100, 0.0001, 'auto')"
110,0.680863832241516,0.6908716544206579,ridge,"(-1, 1.0, 100, 0.001, 'auto')"
111,0.680863832241516,0.6908716544206579,ridge,"(-1, 1.0, 100, 0.01, 'auto')"
112,0.680863832241516,0.6908716544206579,ridge,"(-1, 1.0, 1000, 0.0001, 'auto')"
113,0.680863832241516,0.6908716544206579,ridge,"(-1, 1.0, 1000, 0.001, 'auto')"
114,0.680863832241516,0.6908716544206579,ridge,"(-1, 1.0, 1000, 0.01, 'auto')"
115,0.680863832241516,0.6908716544206579,ridge,"(-1, 1.0, 10000, 0.0001, 'auto')"
116,0.680863832241516,0.6908716544206579,ridge,"(-1, 1.0, 10000, 0.001, 'auto')"
117,0.680863832241516,0.6908716544206579,ridge,"(-1, 1.0, 10000, 0.01, 'auto')"
118,0.6808638272946743,0.690871453485929,ridge,"(-1, 2.0, 100, 0.0001, 'auto')"
119,0.6808638272946743,0.690871453485929,ridge,"(-1, 2.0, 100, 0.001, 'auto')"
120,0.6808638272946743,0.690871453485929,ridge,"(-1, 2.0, 100, 0.01, 'auto')"
121,0.6808638272946743,0.690871453485929,ridge,"(-1, 2.0, 1000, 0.0001, 'auto')"
122,0.6808638272946743,0.690871453485929,ridge,"(-1, 2.0, 1000, 0.001, 'auto')"
123,0.6808638272946743,0.690871453485929,ridge,"(-1, 2.0, 1000, 0.01, 'auto')"
124,0.6808638272946743,0.690871453485929,ridge,"(-1, 2.0, 10000, 0.0001, 'auto')"
125,0.6808638272946743,0.690871453485929,ridge,"(-1, 2.0, 10000, 0.001, 'auto')"
126,0.6808638272946743,0.690871453485929,ridge,"(-1, 2.0, 10000, 0.01, 'auto')"
127,0.6808638242521634,0.6908711395013879,ridge,"(-1, 5.0, 100, 0.0001, 'auto')"
128,0.6808638242521634,0.6908711395013879,ridge,"(-1, 5.0, 100, 0.001, 'auto')"
129,0.6808638242521634,0.6908711395013879,ridge,"(-1, 5.0, 100, 0.01, 'auto')"
130,0.6808638242521634,0.6908711395013879,ridge,"(-1, 5.0, 1000, 0.0001, 'auto')"
131,0.6808638242521634,0.6908711395013879,ridge,"(-1, 5.0, 1000, 0.001, 'auto')"
132,0.6808638242521634,0.6908711395013879,ridge,"(-1, 5.0, 1000, 0.01, 'auto')"
133,0.6808638242521634,0.6908711395013879,ridge,"(-1, 5.0, 10000, 0.0001, 'auto')"
134,0.6808638242521634,0.6908711395013879,ridge,"(-1, 5.0, 10000, 0.001, 'auto')"
135,0.6808638242521634,0.6908711395013879,ridge,"(-1, 5.0, 10000, 0.01, 'auto')"
136,0.6590587110837333,0.6624520978395325,elastic,"(-1, 0.1, 100, 0.0001, 0.1)"
